FILENAME       TYPE            RA       DEC      exptime DATE	
b160320.000204.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:29:46	
b160320.000205.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:29:59	
b160320.000206.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:30:13	
b160320.000210.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:31:06	
b160320.000211.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:31:19	
b160320.000212.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:31:32	
b160320.000213.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:31:45	
b160320.000214.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:31:59	
b160320.000215.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:32:12	
b160320.000216.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:32:25	
b160320.000217.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:32:38	
b160320.000218.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:32:52	
b160320.000219.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:33:05	
b160320.000220.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:33:18	
b160320.000221.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:37:31	
b160320.000222.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:37:44	
b160320.000223.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:37:57	
b160320.000224.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:38:10	
b160320.000225.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:38:23	
b160320.000226.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:38:37	
b160320.000227.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:38:50	
b160320.000228.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:39:03	
b160320.000229.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:39:16	
b160320.000230.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:39:30	
b160320.000231.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:39:43	
b160320.000232.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:39:56	
b160320.000233.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:40:09	
b160320.000234.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:40:23	
b160320.000235.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:40:36	
b160320.000236.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:40:49	
b160320.000237.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:41:02	
b160320.000238.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:41:16	
b160320.000239.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:41:29	
b160320.000240.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:41:42	
b160320.000241.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:41:55	
b160320.000242.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:42:08	
b160320.000243.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:42:22	
b160320.000244.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:42:35	
b160320.000245.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:42:48	
b160320.000246.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:45:20	
b160320.000247.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:45:34	
b160320.000248.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:45:47	
b160320.000249.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:46:00	
b160320.000250.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:46:13	
b160320.000251.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:46:27	
b160320.000252.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:46:40	
b160320.000253.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:46:53	
b160320.000254.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:47:06	
b160320.000255.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:47:20	
b160320.000256.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:47:33	
b160320.000257.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:47:46	
b160320.000258.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:47:59	
b160320.000259.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:48:13	
b160320.000260.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:48:26	
b160320.000261.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:48:39	
b160320.000262.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:48:52	
b160320.000263.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:49:05	
b160320.000264.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:49:19	
b160320.000265.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:49:32	
b160320.000266.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:49:45	
b160320.000267.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:49:58	
b160320.000268.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:50:12	
b160320.000269.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:50:25	
b160320.000270.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:50:38	
b160320.000271.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:52:24	
b160320.000272.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:52:38	
b160320.000273.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:52:51	
b160320.000274.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:53:04	
b160320.000275.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:53:17	
b160320.000276.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:53:31	
b160320.000277.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:53:44	
b160320.000278.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:53:57	
b160320.000279.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:54:10	
b160320.000280.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:54:23	
b160320.000281.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:54:37	
b160320.000282.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:54:50	
b160320.000283.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:55:03	
b160320.000284.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:55:16	
b160320.000285.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:55:30	
b160320.000286.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:55:43	
b160320.000287.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:55:56	
b160320.000288.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:56:09	
b160320.000289.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:56:23	
b160320.000290.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:56:36	
b160320.000291.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:56:49	
b160320.000292.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:57:02	
b160320.000293.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:57:16	
b160320.000294.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:57:29	
b160320.000295.fits            area1   93.0000 -76.0000   10.00 2016-03-21T04:57:42	
b160320.000296.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:59:17	
b160320.000297.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:59:31	
b160320.000298.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:59:44	
b160320.000299.fits            area2   99.0000 -76.0000   10.00 2016-03-21T04:59:57	
b160320.000300.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:00:10	
b160320.000301.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:00:24	
b160320.000302.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:00:37	
b160320.000303.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:00:50	
b160320.000304.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:01:03	
b160320.000305.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:01:16	
b160320.000306.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:01:30	
b160320.000307.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:01:43	
b160320.000308.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:01:56	
b160320.000309.fits            area2   99.0000 -76.0000   10.00 2016-03-21T05:02:09	
