FILENAME       TYPE            RA       DEC      exptime DATE	
b160427.000270.fits           survey  298.3627 -41.9781   60.00 2016-04-28T02:20:28	
b160427.000271.fits           survey  296.4381 -41.9781   60.00 2016-04-28T02:22:08	
b160427.000272.fits           survey  294.5135 -41.9781   60.00 2016-04-28T02:23:43	
b160427.000273.fits           survey  321.0261 -47.8385   60.00 2016-04-28T02:26:13	
b160427.000274.fits           survey  323.1468 -47.8385   60.00 2016-04-28T02:27:53	
b160427.000275.fits           survey  325.2675 -47.8385   60.00 2016-04-28T02:29:33	
b160427.000276.fits           survey  327.3882 -47.8385   60.00 2016-04-28T02:31:13	
b160427.000277.fits           survey  329.5089 -47.8385   60.00 2016-04-28T02:32:58	
b160427.000278.fits           survey  331.6296 -47.8385   60.00 2016-04-28T02:34:38	
b160427.000279.fits           survey  333.7503 -47.8385   60.00 2016-04-28T02:36:19	
b160427.000280.fits           survey  335.8710 -47.8385   60.00 2016-04-28T02:38:03	
b160427.000281.fits           survey  337.9917 -47.8385   60.00 2016-04-28T02:39:38	
b160427.000282.fits           survey  340.1124 -47.8385   60.00 2016-04-28T02:41:13	
b160427.000283.fits           survey  330.1364 -44.9083   60.00 2016-04-28T02:43:13	
b160427.000284.fits           survey  328.1211 -44.9083   60.00 2016-04-28T02:44:47	
b160427.000285.fits           survey  326.1059 -44.9083   60.00 2016-04-28T02:46:28	
b160427.000286.fits           survey  324.0906 -44.9083   60.00 2016-04-28T02:48:03	
b160427.000287.fits           survey  306.0610 -41.9781   60.00 2016-04-28T02:50:13	
b160427.000288.fits           survey  307.9856 -41.9781   60.00 2016-04-28T02:51:53	
b160427.000289.fits           survey  309.9102 -41.9781   60.00 2016-04-28T02:53:33	
b160427.000290.fits           survey  311.8348 -41.9781   60.00 2016-04-28T02:55:13	
b160427.000291.fits           survey  313.7594 -41.9781   60.00 2016-04-28T02:56:53	
b160427.000306.fits           survey   73.3089 -59.5594   60.00 2016-04-28T03:31:37	
b160427.000307.fits           survey   76.0773 -59.5594   60.00 2016-04-28T03:33:19	
b160427.000308.fits           survey   78.8457 -59.5594   60.00 2016-04-28T03:34:58	
b160427.000309.fits           survey   81.6141 -59.5594   60.00 2016-04-28T03:36:43	
b160427.000310.fits           survey   84.3825 -59.5594   60.00 2016-04-28T03:38:24	
b160427.000311.fits           survey   87.1509 -59.5594   60.00 2016-04-28T03:40:03	
b160427.000312.fits           survey   89.9193 -59.5594   60.00 2016-04-28T03:41:52	
b160427.000313.fits           survey   92.6877 -59.5594   60.00 2016-04-28T03:43:32	
b160427.000314.fits           survey   95.4561 -59.5594   60.00 2016-04-28T03:45:13	
b160427.000315.fits           survey   98.2246 -59.5594   60.00 2016-04-28T03:46:57	
b160427.000316.fits           survey  100.9930 -59.5594   60.00 2016-04-28T03:48:37	
b160427.000317.fits           survey  103.7614 -59.5594   60.00 2016-04-28T03:50:22	
b160427.000318.fits           survey  106.5298 -59.5594   60.00 2016-04-28T03:52:03	
b160427.000319.fits           survey  109.2982 -59.5594   60.00 2016-04-28T03:53:43	
b160427.000320.fits           survey  112.0666 -59.5594   60.00 2016-04-28T03:55:23	
b160427.000321.fits           survey  114.8350 -59.5594   60.00 2016-04-28T03:57:03	
b160427.000322.fits           survey  117.6034 -59.5594   60.00 2016-04-28T03:58:45	
b160427.000323.fits           survey  242.2891 -59.5594   60.00 2016-04-28T04:04:27	
b160427.000324.fits           survey  245.0575 -59.5594   60.00 2016-04-28T04:06:08	
b160427.000325.fits           survey  261.6679 -59.5594   60.00 2016-04-28T04:08:18	
b160427.000326.fits           survey  264.4363 -59.5594   60.00 2016-04-28T04:09:58	
b160427.000327.fits           survey  267.2047 -59.5594   60.00 2016-04-28T04:11:43	
