time,disk_0,disk_1,disk_2,disk_3,disk_4,disk_5,disk_6,disk_7,disk_8,disk_9,disk_10,disk_11,disk_12,disk_13,disk_14,disk_15,disk_16,disk_17,opened, ,tasks_0,tasks_1,tasks_2,tasks_3,tasks_4,tasks_5,tasks_6,tasks_7,tasks_8,tasks_9,tasks_10,tasks_11,tasks_12,tasks_13,tasks_14,tasks_15,tasks_16,tasks_17, ,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16,prob_17
1510,18,47,46,43,26,46,42,26,46,-7,-7,-7,36,36,22,43,29,40,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19915.000000,23693.000000,21271.000000,20270.000000,10910.000000,25795.000000,28973.000000,19475.000000,23292.000000,17170.000000,21195.000000,39971.000000,35130.000000,50645.000000,51349.500000,49272.000000,50534.500000,58664.500000
1511,19,48,47,44,27,47,43,27,47,-7,-7,-7,37,37,23,44,30,41,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19950.000000,23719.000000,21305.000000,20293.000000,10927.500000,25824.000000,29002.000000,19486.500000,23308.000000,17184.000000,21212.000000,40013.000000,35180.000000,50708.000000,51411.500000,49340.000000,50606.500000,58738.500000
1512,20,49,48,45,28,48,44,28,48,-7,-7,-7,38,38,24,45,31,42,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,19985.000000,23745.000000,21339.000000,20316.000000,10945.000000,25853.000000,29031.000000,19498.000000,23324.000000,17198.000000,21229.000000,40055.000000,35230.000000,50771.000000,51473.500000,49408.000000,50678.500000,58812.500000
1513,0,50,49,0,29,49,45,29,49,-7,-7,-6,39,39,25,46,0,43,15, ,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0, ,20021.000000,23771.000000,21373.000000,20339.000000,10962.500000,25882.000000,29060.000000,19509.500000,23340.000000,17212.000000,21246.000000,40097.000000,35280.000000,50834.000000,51535.500000,49476.000000,50750.500000,58886.500000
1514,0,51,50,0,30,50,46,30,50,-7,-7,-5,40,40,26,47,0,44,15, ,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0, ,20057.000000,23797.000000,21407.000000,20362.000000,10980.000000,25911.000000,29089.000000,19521.000000,23356.000000,17226.000000,21263.000000,40139.000000,35330.000000,50897.000000,51597.500000,49544.000000,50822.500000,58960.500000
1515,0,52,51,0,31,51,47,31,51,-7,-7,-4,41,41,27,48,0,45,15, ,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0, ,20093.000000,23823.000000,21441.000000,20385.000000,10997.500000,25940.000000,29118.000000,19532.500000,23372.000000,17240.000000,21280.000000,40181.000000,35380.000000,50960.000000,51659.500000,49612.000000,50894.500000,59034.500000
1516,0,53,52,0,32,52,48,32,52,-7,-7,-3,42,42,28,49,0,46,15, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,20129.000000,23849.000000,21475.000000,20408.000000,11015.000000,25968.000000,29146.000000,19544.000000,23388.000000,17252.000000,21297.000000,40223.000000,35430.000000,51023.000000,51719.500000,49680.000000,50966.500000,59106.500000
1517,1,54,53,1,33,53,49,33,53,-7,-7,-2,43,43,29,50,1,47,15, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,20165.000000,23875.000000,21509.000000,20431.000000,11032.500000,25996.000000,29174.000000,19555.500000,23404.000000,17264.000000,21314.000000,40265.000000,35480.000000,51086.000000,51779.500000,49748.000000,51038.500000,59178.500000
1518,2,55,54,2,34,54,50,34,54,-7,-7,-1,44,44,30,51,2,48,15, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,20201.000000,23901.000000,21543.000000,20454.000000,11050.000000,26024.000000,29202.000000,19567.000000,23420.000000,17276.000000,21331.000000,40307.000000,35530.000000,51149.000000,51839.500000,49816.000000,51110.500000,59250.500000
1519,3,56,55,3,35,55,51,35,55,-7,-7,0,45,45,31,52,3,49,16, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,20237.000000,23927.000000,21577.000000,20477.000000,11067.500000,26052.000000,29230.000000,19578.500000,23436.000000,17288.000000,21348.000000,40349.000000,35580.000000,51212.000000,51899.500000,49884.000000,51182.500000,59322.500000
1520,4,57,56,4,36,56,52,36,56,-7,-7,0,46,46,32,53,4,50,16, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,20273.000000,23953.000000,21611.000000,20500.000000,11085.000000,26080.000000,29258.000000,19590.000000,23452.000000,17300.000000,21365.000000,40391.000000,35630.000000,51275.000000,51959.500000,49952.000000,51254.500000,59394.500000
1521,5,58,57,5,37,57,53,37,57,-7,-7,0,47,47,33,54,5,51,16, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,20309.000000,23979.000000,21645.000000,20523.000000,11102.500000,26108.000000,29286.000000,19601.500000,23468.000000,17312.000000,21382.000000,40433.000000,35680.000000,51338.000000,52019.500000,50020.000000,51326.500000,59466.500000
1522,6,59,58,6,38,58,54,38,58,-7,-7,0,48,48,34,55,6,52,16, ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0, ,20345.000000,24005.000000,21679.000000,20546.000000,11120.000000,26136.000000,29314.000000,19613.000000,23484.000000,17324.000000,21399.000000,40475.000000,35730.000000,51401.000000,52079.500000,50088.000000,51398.500000,59538.500000
1523,7,60,59,7,39,59,55,39,59,-7,-7,0,49,49,35,56,7,53,16, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,20381.000000,24031.000000,21713.000000,20569.000000,11137.500000,26164.000000,29342.000000,19624.500000,23500.000000,17336.000000,21416.000000,40517.000000,35780.000000,51464.000000,52139.500000,50156.000000,51470.500000,59610.500000
1524,8,-7,60,8,40,60,56,40,60,-7,-7,1,50,50,36,57,8,54,15, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,20417.000000,24057.000000,21747.000000,20592.000000,11155.000000,26192.000000,29370.000000,19636.000000,23516.000000,17348.000000,21433.000000,40559.000000,35830.000000,51527.000000,52199.500000,50224.000000,51542.500000,59682.500000
1525,9,-7,0,9,41,0,57,41,-7,-7,-7,2,51,51,37,58,9,55,14, ,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,20453.000000,24083.000000,21784.000000,20615.000000,11172.500000,26220.000000,29398.000000,19647.500000,23532.000000,17360.000000,21450.000000,40601.000000,35880.000000,51590.000000,52259.500000,50292.000000,51614.500000,59754.500000
1526,10,-7,0,10,42,0,58,42,-7,-7,-7,3,52,52,38,59,10,56,14, ,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,20489.000000,24109.000000,21821.000000,20638.000000,11190.000000,26248.000000,29426.000000,19659.000000,23548.000000,17372.000000,21467.000000,40643.000000,35930.000000,51653.000000,52319.500000,50360.000000,51686.500000,59826.500000
1527,11,-7,0,11,43,0,59,43,-7,-7,-7,4,53,53,39,60,11,57,14, ,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, ,20525.000000,24135.000000,21858.000000,20661.000000,11207.500000,26276.000000,29454.000000,19670.500000,23564.000000,17384.000000,21484.000000,40685.000000,35980.000000,51716.000000,52379.500000,50428.000000,51758.500000,59898.500000
